# Configuration
# N_FOLDS,4
# EPOCHS_PER_TRIAL,5
# EARLY_STOPPING_PATIENCE,3
# INITIAL_POINTS,10
# BO_ITERATIONS,5
# BO_CANDIDATES,100
# BATCH_SIZE,512
# NUM_FILTERS,32
# KERNEL_SIZE,5
# NUM_UNITS,32
# LEARNING_RATE_MIN,0.0001
# LEARNING_RATE_MAX,0.05
# MANUAL_SEEDS,"[1, 4, 9, 12, 13, 14, 16, 17, 19, 21, 31, 35, 37, 38, 42, 45, 48, 51, 52, 55, 58, 60, 64, 66, 69, 80, 123, 256, 2048, 3651]"
seed,optimizer,best_accuracy,accuracy_std,best_learning_rate,best_final_loss,total_trials
64,AdamW,0.8246666666666667,0.008027729719194902,0.00915301877075777,0.4905509253342947,15
64,Adamax,0.8111666666666666,0.015212385304963381,0.011740173263123248,0.5418326208988826,15
64,ASGD,0.7131666666666666,0.017012250488006208,0.019871478877811002,1.0778484659062493,15
64,NAdam,0.8223333333333332,0.011647603473104085,0.008799419264239789,0.5594900697469711,15
64,RAdam,0.8443333333333334,0.012050818321683473,0.04946756963202385,0.4336220944921175,15
64,Rprop,0.8516666666666667,0.01549551906555926,0.015651384793982235,0.3764798185891575,15
66,SGD,0.8223333333333334,0.014240006242195876,0.04987691510094862,0.5192069825198915,15
66,Adam,0.827,0.0021343747458109266,0.006771608078933291,0.4797280091378424,15
66,RMSProp,0.796,0.00563717817509594,0.0007480081197125759,0.614112483130561,15
66,AdaGrad,0.8063333333333333,0.007838650677536562,0.017447456729540102,0.6195533954434924,15
66,Adadelta,0.7228333333333332,0.010607911093979728,0.04948746113501736,1.0848022666242387,15
66,AdamW,0.8246666666666667,0.0016996731711976147,0.006771608078933291,0.4810471451944775,15
66,Adamax,0.8168333333333334,0.014478911868261668,0.013382649919080749,0.5110934633347723,15
66,ASGD,0.7148333333333334,0.007679337355672179,0.02578866560292737,1.0664692918459575,15
66,NAdam,0.8133333333333334,0.01265789169736501,0.014602437745068442,0.572024608651797,15
66,RAdam,0.8426666666666667,0.014681810363696828,0.04987691510094862,0.42619824161132175,15
66,Rprop,0.8486666666666666,0.012274635093014671,0.027925167619161403,0.3734021170271768,15
69,SGD,0.8095,0.018840706521312353,0.049385786606550866,0.541189130809572,15
69,Adam,0.83,0.014007934259633776,0.007343953316770014,0.4744315726889505,15
69,RMSProp,0.7815,0.027945880237026377,0.0007220973071478996,0.6327322738038169,15
69,AdaGrad,0.8076666666666666,0.032814292279093556,0.01757760100864823,0.5775731694367197,15
69,Adadelta,0.7215,0.02029436155958376,0.04743447731125066,1.154465059439341,15
69,AdamW,0.8323333333333334,0.01453348623772776,0.007343953316770014,0.4742923039529059,15
69,Adamax,0.8181666666666667,0.019535580075566956,0.008943028477767718,0.5098957013752725,15
69,ASGD,0.7158333333333333,0.02245674855261898,0.034921699884385336,0.9525154001182979,15
69,NAdam,0.8231666666666667,0.030255853428166054,0.01757760100864823,0.5044287948144807,15
69,RAdam,0.84,0.015797327481430368,0.02961989851419334,0.4590012662940555,15
69,Rprop,0.8559999999999999,0.01749285568453589,0.02811131389095157,0.31811993858880466,15
80,SGD,0.8076666666666666,0.024955515978993054,0.04508440773812109,0.556594149933921,15
80,Adam,0.8348333333333333,0.006171169527191221,0.0034191923772566206,0.4527241736650467,15
80,RMSProp,0.7735000000000001,0.02294619309989738,0.0003845147638498211,0.7004865854978561,15
